Animal,Parent Class,Class,Sub-Class,Young,Generic name
Sri Lankan Leopard,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Stag Beetle,Insect,Insect,Beetle,,
Stagmomantis limbata Bordered Mantis,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Starfish,Sea animal,Sea animal / Sea star,Sea star,,
Starling Bird,Bird,Bird,Bird,,
Sterlet Fish,Fish,Fish,Fish,,
Stick Insect,Insect,Insect,Stick insect,,
Stingray,Sea animal,Sea animal / Stingray,Stingray,,
Stoat,Mammal,Mammal,Weasel,,
Stock Dove,Bird,Bird,Bird,,
Stonefish,Fish,Fish,Fish,,
Stork,Bird,Bird,Bird,,
Stork-billed Kingfisher,Bird,Bird,Bird,,
Strange-horned Chameleon,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Straw-necked Ibis,Bird,Bird,Bird,,
Strawberry Poison-dart Frog,Amphibian,Amphibian,Frog / Toad,,
Stump-tailed Macaque,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Sumatran Hog Badger,Mammal,Mammal,Badger,,
Sumatran Orangutan,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Sumatran Serow,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Sumatran Tiger,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Sunbear,Mammal,Mammal,Bear,,
Surgeonfish,Fish,Fish,Fish,,
Swallow,Bird,Bird,Bird,,
Swan,Bird,Bird,Water bird / Duck / Swan / Goose,,
Syllid worm,Insect,Insect / Caterpillar / Worm,Worm,,
Tachybaptus ruficollis Bird,Bird,Bird,Bird,,
Tadpole,Amphibian,Amphibian / Tadpole,Tadpole,,Yes
Tamandua,Mammal,Mammal,Anteater,,
Tarantula,Insect,Insect / Spider,Spider / Tarantula,,
Tarantula Hawk Wasp,Insect,Insect,Bee / Wasp,,
Tawny Owl,Bird,Bird,Bird,,
Tayra,Mammal,Mammal,Weasel,,
Teddy Bear Crab,Sea animal,Sea animal / Crab,Crab,,
Tench Fish,Fish,Fish,Fish,,
Termite,Insect,Insect,Ant / Termite / Aphid,,
Tern,Bird,Bird,Bird,,
Terrapin,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Tetragnatha versicolor,Insect,Insect / Spider,Spider / Tarantula,,
Texas Brown Tarantula,Insect,Insect / Spider,Spider / Tarantula,,
Thamin Deer,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Thamnophis cyrtopsis Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Thelotornis Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Three-toed Woodpecker,Bird,Bird,Bird,,
Thrush Nightingale Bird,Bird,Bird,Bird,,
Tiger,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Tiger Salamander,Amphibian,Amphibian,Salamander / Newt,,
Tiger Shark,Fish,Fish / Large swimmer,Shark,,
Tinamou,Bird,Bird,Chicken / Curassow / Turkey,,
Tit Bird,Bird,Bird,Bird,,
Toad,Amphibian,Amphibian,Frog / Toad,,Yes
Toadfish,Fish,Fish,Fish,,
Tomato Frog,Amphibian,Amphibian,Frog / Toad,,
Tomistoma schlegelii Gharial,Reptile,Reptile,Crocodile / Alligator,,
Tortoise,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Toucan,Bird,Bird,Bird,,
Trap-Door Spider,Insect,Insect / Spider,Spider / Tarantula,,
Tree Climbing Crab,Sea animal,Sea animal / Crab,Crab,,
Tree Hopper,Insect,Insect,Insect,,
Tree Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Tringa erythropus Bird,Bird,Bird,Bird,,
Tringa glareola Bird,Bird,Bird,Bird,,
Tringa nebularia Bird,Bird,Bird,Bird,,
Tringa ochropus Bird,Bird,Bird,Bird,,
Trissolcus japonicus Wasp,Insect,Insect,Bee / Wasp,,
Tropical Reed Frog,Amphibian,Amphibian,Frog / Toad,,
Trout,Fish,Fish,Fish,,
Trout Young,Fish,Fish,Fish,Yes,
Tuatara,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Tuna,Fish,Fish,Fish,,
Turdus merula Blackbird,Bird,Bird,Bird,,
Turret Spider,Insect,Insect / Spider,Spider / Tarantula,,
Turtle,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Turtle Dove,Bird,Bird,Bird,,
Two-Toed Sloth,Mammal,Mammal,Sloth,,
Vampire Squid,Sea animal,Sea animal / Octopus,Octopus / Squid / Cuttlefish,,
Vanellus vanellus Bird,Bird,Bird,Bird,,
Vanessa cardui Caterpillar,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,Yes,
Vimba Fish,Fish,Fish,Fish,,
Viper,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Vipera berus Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Vulture,Bird,Bird,Bird,,
Walking Stick,Insect,Insect,Stick insect,,
Walrus,Sea animal,Sea animal / Seal,Seal / Walrus,,
Wandering Alabatross,Bird,Bird,Water bird / Duck / Swan / Goose,,
Warthog,Mammal,Mammal,Pig / Boar / Hog,,
Wasp,Insect,Insect,Bee / Wasp,,
Water Dipper Bird,Bird,Bird,Bird,,
Water Insect,Insect,Insect,Water Insect,,Yes
Water Lily Frog,Amphibian,Amphibian,Frog / Toad,,
Water Rail Bird,Bird,Bird,Bird,,
Water Scorpion,Insect,Insect,Scorpion,,
Water Strider,Insect,Insect,Pond skater,,
Water Threader,Insect,Insect,Water Insect,,
Weaver Ant,Insect,Insect,Ant / Termite / Aphid,,
Wedge Tailed Eagle,Bird,Bird,Bird,,
Western Chimpanzee,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Western Chimpanzee Young,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,Yes,
Western Diamondback,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Western Diamondback Young,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,Yes,
Western Dwarf Chameleon,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Western Pine Beetle,Insect,Insect,Beetle,,
Western Pine Beetle Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Western Pond Turtle,Reptile,Reptile / Turtle,Tortoise / Turtle,,
Western Widow Spider,Insect,Insect / Spider,Spider / Tarantula,,
Western-crest Guineafowl,Bird,Bird,Chicken / Curassow / Turkey,,
Whale,Fish,Fish / Large swimmer,Whale,,
Whinchat Bird,Bird,Bird,Bird,,
Whiskered Tern Bird,Bird,Bird,Bird,,
Whistling Duck,Bird,Bird,Water bird / Duck / Swan / Goose,,
White and Gray Wagtail Bird,Bird,Bird,Bird,,
White Cockatoo Bird,Bird,Bird,Bird,,
White Faced Heron,Bird,Bird,Bird,,
White Nosed Coati,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
White Rhinoceros,Mammal,Mammal,Rhinoceros,,
White Speckled Rattlesnake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
White Throated Dipper Bird,Bird,Bird,Bird,,
White Tiger,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
White Wig Marine Iguana,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
White-backed Woodpecker,Bird,Bird,Bird,,
White-bellied Fish Eagle,Bird,Bird,Bird,,
White-breasted Guineafowl,Bird,Bird,Chicken / Curassow / Turkey,,
White-breasted Waterhen,Bird,Bird,Bird,,
White-Faced Saki Monkey,Mammal,Mammal,Primate / Monkey / Macaque / Baboon / Chimpanzee / Gorilla / Orangutan / Langur,,
Whooper Swan,Bird,Bird,Water bird / Duck / Swan / Goose,,
Wild Boar,Mammal,Mammal,Pig / Boar / Hog,,
Wild Dog,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
Wild Red-Tailed Boa,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Wildebeest,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Winter Ant,Insect,Insect,Ant / Termite / Aphid,,
Wolf,Mammal,Mammal,Dog / Wolf / Fox / Coyote / Jackal,,
Wolverine,Mammal,Mammal,Racoon,,
Wombat,Mammal,Mammal,Wombat,,
Wood Cricket,Insect,Insect,Cricket / Grasshopper / Praying mantis / Leafhopper,,
Wood Warbler,Bird,Bird,Bird,,
Woodlark Bird,Bird,Bird,Bird,,
Woodpecker,Bird,Bird,Bird,,
Worm,Insect,Insect / Caterpillar / Worm,Worm,,
Wormlion,Insect,Insect,Dragonfly / Mayfly / Damselfly,,
Wormlion Larva,Insect,Insect / Larva / Pupa,Larva / Pupa,Yes,
Wren,Bird,Bird,Bird,,
Xystocheir dissecta Millipede,Insect,Insect / Caterpillar / Worm,Caterpillar / Centipede / Millipede,,
Yak,Mammal,Mammal,Cow / Buffalo / Bison,,
Yellow Cuttlefish,Sea animal,Sea animal / Octopus,Octopus / Squid / Cuttlefish,,
Yellow Striped Tree Skink,Reptile,Reptile,Lizard / Gecko / Draco / Iguana / Chamelon,,
Yellow Watchman Goby Fish,Fish,Fish,Fish,,
Yellow Wrasse Fish,Fish,Fish,Fish,,
Yellow-backed Duiker,Mammal,Mammal,Deer / Antelope / Caribou / Moose,,
Yellow-eyed ensatina,Amphibian,Amphibian,Salamander / Newt,,
Yellow-throated Martens,Mammal,Mammal,Cat / Lion / Tiger / Cheetah / Leopard / Cheetah / Cougar / Civet cat,,
Yellowhammer,Bird,Bird,Bird,,
Yellowhammer Young,Bird,Bird,Bird,Yes,
Yellowtail Fusilier Fish,Fish,Fish,Fish,,
Zamenis longissiumus Snake,Reptile,Reptile / Snake,Snake / Cobra / Viper / Python,,
Zebra,Mammal,Mammal,Zebra,,
Zebra-Duiker,Mammal,Mammal,Zebra,,
Zooplankton,Sea animal,Sea animal / Prawn,Zooplankton,,
Zygiella x-notata,Insect,Insect / Spider,Spider / Tarantula,,
Сommon Eider,Bird,Bird,Water bird / Duck / Swan / Goose,,
