S/N,video_id,type,labels,list_animal_action,list_animal,list_animal_parent_class
11102,LUYUTVMP,train,15,"[('Bird', 'Chirping')]",['Bird'],['Bird']
11103,LUZBDMHZ,train,78,"[('Zamenis Longissiumus Snake', 'Moving')]",['Zamenis Longissiumus Snake'],['Reptile']
11104,LUZFGBQT,train,2,"[('Black Bearded Draco', 'Attending')]",['Black Bearded Draco'],['Reptile']
11105,LUZRYIQR,train,"102,39","[('Mongoose', 'Sensing'), ('Black Mamba', 'Dying')]","['Mongoose', 'Black Mamba']","['Reptile', 'Mammal']"
11106,LVBAVEUL,train,"68,102","[('Mozambique Spitting Cobra', 'Keeping still'), ('Mozambique Spitting Cobra', 'Sensing')]","['Mozambique Spitting Cobra', 'Mozambique Spitting Cobra']",['Reptile']
11107,LVDLUNQN,train,"2,68","[('European Robin Bird', 'Attending'), ('European Robin Bird', 'Keeping still')]","['European Robin Bird', 'European Robin Bird']",['Bird']
11108,LVEFMTFT,train,"38,102,26,90,47,133,27","[('Flamingo', 'Fighting'), ('Flamingo', 'Walking'), ('Flamingo', 'Preening'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking'), ('Flamingo', 'Displaying Defensive Pose'), ('Flamingo', 'Sensing')]","['Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo']",['Bird']
11109,LVEIIUDI,train,"2,68,103,104","[('Robin Bird', 'Keeping still'), ('Robin Bird', 'Attending'), ('Robin Bird', 'Shaking'), ('Robin Bird', 'Shaking Head')]","['Robin Bird', 'Robin Bird', 'Robin Bird', 'Robin Bird']",['Bird']
11110,LVERGYTZ,train,133,"[('Greylag Goose', 'Walking')]",['Greylag Goose'],['Bird']
11111,LVEWJZTV,train,68,"[('Common Crane', 'Keeping still')]",['Common Crane'],['Bird']
11112,LVFXCVMW,train,78,"[('Russell''s Viper', 'Moving')]",['['],['Reptile']
11113,LVGJCNQN,train,"102,15","[('Eurasian Wryneck Bird', 'Chirping'), ('Eurasian Wryneck Bird', 'Sensing')]","['Eurasian Wryneck Bird', 'Eurasian Wryneck Bird']",['Bird']
11114,LVHKEGCS,train,"104,108,3,102,116,2,133,1,97,118,68,96","[('Lion', 'Keeping still'), ('Lion', 'Attending'), ('Lion', 'Attacking'), ('Lion', 'Walking'), ('Lion', 'Retreating'), ('Lion', 'Sitting'), ('Lion', 'Standing'), ('Lion', 'Retaliating'), ('Lion', 'Shaking Head'), ('Lion', 'Barking'), ('Lion', 'Startled'), ('Lion', 'Sensing')]","['Lion', 'Lion', 'Lion', 'Lion', 'Lion', 'Lion', 'Lion', 'Lion', 'Lion', 'Lion', 'Lion', 'Lion']",['Mammal']
11115,LVHWQCIW,train,128,"[('Salticidae Jumping Spider', 'Turning Around')]",['Salticidae Jumping Spider'],['Insect']
11116,LVJKGBME,train,"40,133","[('Horse', 'Walking'), ('Horse', 'Eating')]","['Horse', 'Horse']",['Mammal']
11117,LVKEYJYD,train,"68,102","[('Aphis Fabae Alates', 'Sensing'), ('Aphis Fabae Alates', 'Keeping still')]","['Aphis Fabae Alates', 'Aphis Fabae Alates']",['Insect']
11118,LVKHTPIF,train,"1,123,51","[('Sardine', 'Fleeing'), ('Sea Lion', 'Swimming'), ('Shearwater Bird', 'Swimming'), ('Shearwater Bird', 'Attacking')]","['Sardine', 'Sea Lion', 'Shearwater Bird', 'Shearwater Bird']","['Bird', 'Fish', 'Sea animal']"
11119,LVLXSUDI,train,"2,68,15","[('Robin Bird', 'Keeping still'), ('Robin Bird', 'Chirping'), ('Robin Bird', 'Attending')]","['Robin Bird', 'Robin Bird', 'Robin Bird']",['Bird']
11120,LVMCBTFT,train,"38,26,47,96,27","[('Flamingo', 'Fighting'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking'), ('Flamingo', 'Retaliating'), ('Flamingo', 'Displaying Defensive Pose')]","['Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo']",['Bird']
11121,LVMCISOB,train,78,"[('Nose-Horned Viper', 'Moving')]",['Nose-Horned Viper'],['Reptile']
11122,LVNOOXMC,train,"80,102","[('Woodpecker', 'Sensing'), ('Woodpecker', 'Pecking')]","['Woodpecker', 'Woodpecker']",['Bird']
11123,LVPJORAC,train,16,"[('Red-Blacked Squirrel Monkey', 'Climbing')]",['Red-Blacked Squirrel Monkey'],['Mammal']
11124,LVPURHEB,train,2,"[('Cotesia Glomerata Wasp', 'Attending')]",['Cotesia Glomerata Wasp'],['Insect']
11125,LVQEWHSA,train,40,"[('Common Cuckoo Bird', 'Eating')]",['Common Cuckoo Bird'],['Bird']
11126,LVQSDUPH,train,68,"[('Crested Grebe Bird', 'Keeping still')]",['Crested Grebe Bird'],['Bird']
11127,LVRTDMYV,train,1,"[('Atheris Nitschei Viper', 'Attacking')]",['Atheris Nitschei Viper'],['Reptile']
11128,LVSQUXGD,train,61,"[('Horse', 'Having A Flehmen Response')]",['Horse'],['Mammal']
11129,LVTGVPHK,train,"128,40","[('Azure Tit Bird', 'Turning Around'), ('Azure Tit Bird', 'Eating')]","['Azure Tit Bird', 'Azure Tit Bird']",['Bird']
11130,LVTIKUDI,train,"2,68","[('Robin Bird', 'Keeping still'), ('Robin Bird', 'Attending')]","['Robin Bird', 'Robin Bird']",['Bird']
11131,LVTMXBCH,train,22,"[('Dampwood Termite', 'Defecating')]",['Dampwood Termite'],['Insect']
11132,LVTNJLKY,train,"128,133","[('Side Blotched Lizard', 'Turning Around')]",['Side Blotched Lizard'],['Reptile']
11133,LVUDDZON,train,"38,133","[('Elephant', 'Drinking'), ('Elephant', 'Walking')]","['Elephant', 'Elephant']",['Mammal']
11134,LVXAOBQT,train,67,"[('Raffles Banded Langur', 'Jumping')]",['Raffles Banded Langur'],['Mammal']
11135,LVXDASBA,train,40,"[('Bird', 'Eating')]",['Bird'],['Bird']
11136,LVXOHBME,train,"40,118","[('Horse', 'Startled'), ('Horse', 'Eating')]","['Horse', 'Horse']",['Mammal']
11137,LVXQANPL,train,13,"[('Red-Backed Shrike Bird', 'Carrying In Mouth')]",['Red-Backed Shrike Bird'],['Bird']
11138,LVZJQPTK,train,"102,2,15,68,22","[('Singing Nightingale', 'Defecating'), ('Singing Nightingale', 'Attending'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing'), ('Singing Nightingale', 'Keeping still')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
11139,LWBFYPDU,train,"52,13","[('Great Grey Shrike', 'Carrying In Mouth')]",['Great Grey Shrike'],['Bird']
11140,LWBONLSQ,train,"2,68,40","[('Mistle Thrush', 'Attending'), ('Mistle Thrush', 'Keeping still'), ('Mistle Thrush', 'Eating')]","['Mistle Thrush', 'Mistle Thrush', 'Mistle Thrush']",['Bird']
11141,LWBOPDCD,train,2,"[('Caddisfly', 'Attending')]",['Caddisfly'],['Insect']
11142,LWBXJPIF,train,121,"[('Orca', 'Surfacing'), ('Minke Whale', 'Surfacing')]","['Orca', 'Minke Whale']",['Fish']
11143,LWCFLRSU,train,68,"[('Wolf', 'Keeping still')]",['Wolf'],['Mammal']
11144,LWDBIPTK,train,"68,102,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
11145,LWDIAJKU,train,"58,68,52","[('Penguin', 'Keeping still'), ('Penguin', 'Flying'), ('Penguin', 'Grooming')]","['Penguin', 'Penguin', 'Penguin']",['Bird']
11146,LWDSISEB,train,"102,15","[('Common Rosefinch Bird', 'Chirping'), ('Common Rosefinch Bird', 'Sensing')]","['Common Rosefinch Bird', 'Common Rosefinch Bird']",['Bird']
11147,LWEPQNPO,train,"2,133","[('Lion', 'Attending')]",['Lion'],['Mammal']
11148,LWEWGTKX,train,"40,102,15","[('Bullfinch', 'Chirping'), ('Bullfinch', 'Sensing'), ('Bullfinch', 'Eating')]","['Bullfinch', 'Bullfinch', 'Bullfinch']",['Bird']
11149,LWGIXNQN,train,"2,102,15","[('Thrush Nightingale Bird', 'Attending'), ('Thrush Nightingale Bird', 'Chirping'), ('Thrush Nightingale Bird', 'Sensing')]","['Thrush Nightingale Bird', 'Thrush Nightingale Bird', 'Thrush Nightingale Bird']",['Bird']
11150,LWGPQVMP,train,133,"[('Bird', 'Walking')]",['Bird'],['Bird']
11151,LWGWQDAL,train,"104,52,123,102,32,68,40","[('Mallard Duck', 'Keeping still'), ('Grey Heron', 'Flying'), ('Grey Heron', 'Swimming'), ('Grey Heron', 'Shaking Head'), ('Grey Heron', 'Eating'), ('Grey Heron', 'Keeping still'), ('Grey Heron', 'Sensing'), ('Mallard Duck', 'Doing A Face Dip'), ('Mallard Duck', 'Flying')]","['Mallard Duck', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Mallard Duck', 'Mallard Duck']",['Bird']
11152,LWINPNCR,train,48,"[('Goose', 'Flapping')]",['Goose'],['Bird']
11153,LWISILHH,train,68,"[('Frog', 'Keeping still')]",['Frog'],['Amphibian']
11154,LWISONCR,train,"123,15","[('Goose', 'Chirping')]",['Goose'],['Bird']
11155,LWJGVPDU,train,40,"[('Great Grey Shrike', 'Eating')]",['Great Grey Shrike'],['Bird']
11156,LWMVUCEI,train,47,"[('Ant', 'Fighting')]",['Ant'],['Insect']
11157,LWNQSFGA,train,69,"[('Bird', 'Landing')]",['Bird'],['Bird']
11158,LWPKPUOO,train,"102,15","[('Icterine Warbler Bird', 'Chirping')]",['Icterine Warbler Bird'],['Bird']
11159,LWPMLZIE,train,"48,102","[('Bird', 'Flapping'), ('Bird', 'Sensing')]","['Bird', 'Bird']",['Bird']
11160,LWPRZAFG,train,"78,122","[('Phyllium Giganteum', 'Swaying')]",['Phyllium Giganteum'],['Insect']
11161,LWPYCMVW,train,"2,68,15","[('Eurasian Wren Bird', 'Keeping still'), ('Eurasian Wren Bird', 'Attending'), ('Eurasian Wren Bird', 'Chirping')]","['Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird']",['Bird']
11162,LWQEDKRV,train,"2,49","[('Cuckoo Bird', 'Attending'), ('Cuckoo Bird', 'Flapping Tail')]","['Cuckoo Bird', 'Cuckoo Bird']",['Bird']
11163,LWROCWMK,train,78,"[('Horned Adder', 'Moving')]",['Horned Adder'],['Reptile']
11164,LWRUYPIF,train,"5,8","[('Salmon', 'Being Carried In Mouth'), ('Grizzly Bear', 'Biting')]","['Salmon', 'Grizzly Bear']","['Fish', 'Mammal']"
11165,LWSODIFB,train,10,"[('Golden Poison Frog', 'Calling')]",['Golden Poison Frog'],['Amphibian']
11166,LWSQVRAC,train,"133,67","[('Coyote', 'Jumping'), ('Coyote', 'Walking')]","['Coyote', 'Coyote']",['Mammal']
11167,LWSSJNPL,train,"64,15","[('Red-Backed Shrike Bird Young', 'Chirping'), ('Red-Backed Shrike Bird', 'Hopping')]","['Red-Backed Shrike Bird Young', 'Red-Backed Shrike Bird']",['Bird']
11168,LWTLOKOU,train,69,"[('Yellowhammer', 'Landing')]",['Yellowhammer'],['Bird']
11169,LWUSOSBA,train,"102,15","[('Bird', 'Chirping')]",['Bird'],['Bird']
11170,LWUZSFNJ,train,123,"[('Iguana', 'Swimming')]",['Iguana'],['Reptile']
11171,LWWUTHAQ,train,"68,52,102,110","[('Montagu''s Harrier Young', 'Keeping still'), ('Montagu''s Harrier Young', 'Sensing'), ('Montagu''s Harrier', 'Flying'), ('Montagu''s Harrier Young', 'Sleeping in its nest')]","['[', '[']",['Bird']
11172,LWXMMVMP,train,"40,69,102","[('Bird', 'Landing'), ('Bird', 'Sensing'), ('Bird', 'Eating')]","['Bird', 'Bird', 'Bird']",['Bird']
11173,LXATLLVZ,train,78,"[('Puff Adder', 'Moving')]",['Puff Adder'],['Reptile']
11174,LXBQRWUH,train,"69,78","[('Bird', 'Landing'), ('Bird', 'Moving')]","['Bird', 'Bird']",['Bird']
11175,LXCYXRFV,train,2,"[('Mountain Yellow-Legged Frog', 'Attending')]",['Mountain Yellow-Legged Frog'],['Amphibian']
11176,LXDLPHGA,train,"133,102,97,78","[('Naja Nivea Snake', 'Moving'), ('Meerkat', 'Walking'), ('Meerkat', 'Retreating'), ('Meerkat', 'Sensing')]","['Naja Nivea Snake', 'Meerkat', 'Meerkat', 'Meerkat']","['Reptile', 'Mammal']"
11177,LXDMONQN,train,"102,15","[('Whinchat Bird', 'Chirping'), ('Whinchat Bird', 'Sensing')]","['Whinchat Bird', 'Whinchat Bird']",['Bird']
11178,LXEMKHGA,train,"102,2,133,1,118,51,97,78","[('Meerkat', 'Walking'), ('Naja Nivea Snake', 'Sensing'), ('Naja Nivea Snake', 'Moving'), ('Naja Nivea Snake', 'Attending'), ('Meerkat', 'Attending'), ('Meerkat', 'Sensing'), ('Meerkat', 'Startled'), ('Naja Nivea Snake', 'Attacking'), ('Meerkat', 'Retreating')]","['Meerkat', 'Naja Nivea Snake', 'Naja Nivea Snake', 'Naja Nivea Snake', 'Meerkat', 'Meerkat', 'Meerkat', 'Naja Nivea Snake', 'Meerkat']","['Reptile', 'Mammal']"
11179,LXEOTVKA,train,"128,2,133,100","[('Common Quail', 'Attending'), ('Common Quail', 'Running'), ('Common Quail', 'Walking'), ('Common Quail', 'Turning Around')]","['Common Quail', 'Common Quail', 'Common Quail', 'Common Quail']",['Bird']
11180,LXEUFUDI,train,"2,68,15","[('Robin Bird', 'Keeping still'), ('Robin Bird', 'Chirping'), ('Robin Bird', 'Attending')]","['Robin Bird', 'Robin Bird', 'Robin Bird']",['Bird']
11181,LXEXIDAL,train,"104,5,67,32,40,7,13","[('Frog', 'Carrying In Mouth'), ('Grey Heron', 'Being Carried In Mouth'), ('Grey Heron', 'Shaking Head'), ('Grey Heron', 'Eating'), ('Grey Heron', 'Jumping'), ('Frog', 'Being Carried In Mouth'), ('Grey Heron', 'Carrying In Mouth'), ('Frog', 'Being Eaten'), ('Mallard Duck', 'Being Carried In Mouth')]","['Frog', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Grey Heron', 'Frog', 'Grey Heron', 'Frog', 'Mallard Duck']","['Amphibian', 'Bird']"
11182,LXHJVLSQ,train,"40,15","[('Bird', 'Chirping'), ('Bird', 'Eating')]","['Bird', 'Bird']",['Bird']
11183,LXHYJWUH,train,"69,13","[('Bird', 'Landing'), ('Bird', 'Carrying In Mouth')]","['Bird', 'Bird']",['Bird']
11184,LXLHNFYS,train,123,"[('Turtle', 'Swimming')]",['Turtle'],['Reptile']
11185,LXMGYVMP,train,"40,52","[('Bird', 'Flying'), ('Bird', 'Eating')]","['Bird', 'Bird']",['Bird']
11186,LXNPELSQ,train,40,"[('Mistle Thrush', 'Eating')]",['Mistle Thrush'],['Bird']
11187,LXOPRPLS,train,"104,52,102,90,2,69,114,68,40,133","[('Ardea Alba Egret', 'Keeping still'), ('Ardea Alba Egret', 'Attending'), ('Ardea Alba Egret', 'Spreading Wings'), ('Ardea Alba Egret', 'Walking'), ('Ardea Alba Egret', 'Landing'), ('Ardea Alba Egret', 'Preening'), ('Ardea Alba Egret', 'Flying'), ('Ardea Alba Egret', 'Eating'), ('Ardea Alba Egret', 'Shaking Head'), ('Ardea Alba Egret', 'Sensing')]","['Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret', 'Ardea Alba Egret']",['Bird']
11188,LXPVONQN,train,"2,15","[('Thrush Nightingale Bird', 'Attending'), ('Thrush Nightingale Bird', 'Chirping')]","['Thrush Nightingale Bird', 'Thrush Nightingale Bird']",['Bird']
11189,LXQPYVEI,train,"49,133,103","[('Gallinago Gallinago Bird', 'Walking'), ('Gallinago Gallinago Bird', 'Shaking'), ('Duck', 'Walking'), ('Duck', 'Shaking'), ('Gallinago Gallinago Bird', 'Flapping Tail')]","['Gallinago Gallinago Bird', 'Gallinago Gallinago Bird', 'Duck', 'Duck', 'Gallinago Gallinago Bird']",['Bird']
11190,LXQQRLBD,train,"2,49","[('Botaurus Stellaris Bird', 'Attending')]",['Botaurus Stellaris Bird'],['Bird']
11191,LXSJMUDX,train,133,"[('Cheetah', 'Walking')]",['Cheetah'],['Mammal']
11192,LXSPDHFB,train,"40,102","[('Hazel Grouse Bird', 'Sensing'), ('Hazel Grouse Bird', 'Eating')]","['Hazel Grouse Bird', 'Hazel Grouse Bird']",['Bird']
11193,LXTFLBQT,train,40,"[('Greater Mouse Deer', 'Eating')]",['Greater Mouse Deer'],['Mammal']
11194,LXULKFUP,train,68,"[('Red Spitting Cobra', 'Keeping still')]",['Red Spitting Cobra'],['Reptile']
11195,LXUZRXGD,train,68,"[('Snake', 'Keeping still')]",['Snake'],['Reptile']
11196,LXWUWEBY,train,67,"[('Fox', 'Jumping')]",['Fox'],['Mammal']
11197,LXXTWKBS,train,"40,78","[('Red Ant', 'Moving'), ('Frilled Neck Lizard', 'Eating')]","['Red Ant', 'Frilled Neck Lizard']","['Reptile', 'Insect']"
11198,LXXUQPKK,train,"68,52,133,102","[('Black-Winged Stilt', 'Flying'), ('Black-Winged Stilt', 'Sensing'), ('Black-Winged Stilt', 'Walking'), ('Black-Winged Stilt', 'Keeping still')]","['Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt', 'Black-Winged Stilt']",['Bird']
11199,LXYGCBRS,train,52,"[('Apis Mellifera Honey Bee', 'Flying')]",['Apis Mellifera Honey Bee'],['Insect']
11200,LYAUITHG,train,"68,133","[('Red River Hog', 'Walking'), ('Red River Hog', 'Keeping still')]","['Red River Hog', 'Red River Hog']",['Mammal']
11201,LYAUZMVW,train,"2,102,15","[('Eurasian Wren Bird', 'Attending'), ('Eurasian Wren Bird', 'Chirping'), ('Eurasian Wren Bird', 'Sensing')]","['Eurasian Wren Bird', 'Eurasian Wren Bird', 'Eurasian Wren Bird']",['Bird']
11202,LYAYPXSF,train,"52,102,15","[('Great Grey Shrike Young', 'Chirping'), ('Great Grey Shrike', 'Flying'), ('Great Grey Shrike Young', 'Sensing')]","['Great Grey Shrike Young', 'Great Grey Shrike', 'Great Grey Shrike Young']",['Bird']
11203,LYCNKXHP,train,"40,102","[('Bird', 'Sensing'), ('Whiskered Tern Bird', 'Sensing'), ('Whiskered Tern Bird', 'Eating')]","['Bird', 'Whiskered Tern Bird', 'Whiskered Tern Bird']",['Bird']
11204,LYDHGAMC,train,"139,133,74","[('Lion Young', 'Lying Down'), ('Lion Young', 'Yawning'), ('Lion Young', 'Walking')]","['Lion Young', 'Lion Young', 'Lion Young']",['Mammal']
11205,LYDJTPTK,train,"102,15","[('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing')]","['Singing Nightingale', 'Singing Nightingale']",['Bird']
11206,LYEATHFB,train,102,"[('Hazel Grouse Bird', 'Sensing')]",['Hazel Grouse Bird'],['Bird']
11207,LYFWNADX,train,80,"[('White-Backed Woodpecker', 'Pecking')]",['White-Backed Woodpecker'],['Bird']
11208,LYGLNZJZ,train,"2,52","[('Raven', 'Attending'), ('Raven', 'Flying')]","['Raven', 'Raven']",['Bird']
11209,LYHBTRAM,train,"40,7","[('Nursery Web Spider', 'Eating'), ('Fly', 'Being Eaten')]","['Nursery Web Spider', 'Fly']",['Insect']
11210,LYHTDVEI,train,"100,15","[('Motacilla Alba Bird', 'Chirping'), ('Motacilla Alba Bird', 'Running')]","['Motacilla Alba Bird', 'Motacilla Alba Bird']",['Bird']
11211,LYJARPJK,train,123,"[('Fish', 'Swimming')]",['Fish'],['Fish']
11212,LYJCKFUP,train,"2,68,78","[('Red Spitting Cobra', 'Moving'), ('Red Spitting Cobra', 'Attending'), ('Red Spitting Cobra', 'Keeping still')]","['Red Spitting Cobra', 'Red Spitting Cobra', 'Red Spitting Cobra']",['Reptile']
11213,LYLFWMME,train,68,"[('Bird', 'Keeping still')]",['Bird'],['Bird']
11214,LYMAAWWK,train,45,"[('Nautilus', 'Exploring')]",['Nautilus'],['Sea animal']
11215,LYOGLTEK,train,"3,102","[('Sri Lankan Leopard', 'Sensing')]",['Sri Lankan Leopard'],['Mammal']
11216,LYOHZLHH,train,"68,78,65","[('Rain Frog', 'Keeping still'), ('Rain Frog', 'Moving'), ('Rain Frog', 'Hugging')]","['Rain Frog', 'Rain Frog', 'Rain Frog']",['Amphibian']
11217,LYPIGXGD,train,"120,40","[('Red Bellied Black Snake', 'Eating'), ('Frog', 'Struggling')]","['Red Bellied Black Snake', 'Frog']","['Amphibian', 'Reptile']"
11218,LYPOZXDO,train,"68,102","[('Giraffe', 'Keeping still'), ('Giraffe', 'Sensing')]","['Giraffe', 'Giraffe']",['Mammal']
11219,LYQYIZQJ,train,68,"[('Bird', 'Keeping still')]",['Bird'],['Bird']
11220,LYRMLHGA,train,40,"[('Squirrel', 'Eating'), ('Bird', 'Eating')]","['Squirrel', 'Bird']","['Bird', 'Mammal']"
11221,LYSZFDAL,train,"68,123","[('Grey Heron', 'Keeping still'), ('Duck', 'Swimming')]","['Grey Heron', 'Duck']",['Bird']
11222,LYUNWTFT,train,"38,102,26,90,47,133,27","[('Flamingo', 'Fighting'), ('Flamingo', 'Walking'), ('Flamingo', 'Preening'), ('Flamingo', 'Disturbing Another Animal'), ('Flamingo', 'Drinking'), ('Flamingo', 'Displaying Defensive Pose'), ('Flamingo', 'Sensing')]","['Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo', 'Flamingo']",['Bird']
11223,LYVBPVEI,train,"32,40,90","[('Gallinago Gallinago Bird', 'Eating'), ('Gallinago Gallinago Bird', 'Doing A Face Dip'), ('Duck', 'Preening')]","['Gallinago Gallinago Bird', 'Gallinago Gallinago Bird', 'Duck']",['Bird']
11224,LYVJXVEI,train,"40,133","[('Tringa Glareola Bird', 'Eating'), ('Tringa Glareola Bird', 'Walking')]","['Tringa Glareola Bird', 'Tringa Glareola Bird']",['Bird']
11225,LYWVYVDY,train,"102,15","[('Great Reed Warbler Bird', 'Chirping'), ('Great Reed Warbler Bird', 'Sensing')]","['Great Reed Warbler Bird', 'Great Reed Warbler Bird']",['Bird']
11226,LYXAYPKK,train,68,"[('Black-Winged Stilt', 'Keeping still')]",['Black-Winged Stilt'],['Bird']
11227,LYYWFPTK,train,15,"[('Singing Nightingale', 'Chirping')]",['Singing Nightingale'],['Bird']
11228,LYZVTRLL,train,68,"[('Cricket', 'Keeping still')]",['Cricket'],['Insect']
11229,LZALRFFP,train,"97,27","[('Maroon Macaque', 'Retreating'), ('Maroon Macaque', 'Disturbing Another Animal')]","['Maroon Macaque', 'Maroon Macaque']",['Mammal']
11230,LZAYQHXM,train,"78,102","[('Dendroaspis Polylepis Black Mamba', 'Moving')]",['Dendroaspis Polylepis Black Mamba'],['Reptile']
11231,LZCVRIQR,train,"1,102,100,51","[('Mongoose', 'Fleeing'), ('Black Mamba', 'Sensing'), ('Mongoose', 'Running'), ('Black Mamba', 'Attacking')]","['Mongoose', 'Black Mamba', 'Mongoose', 'Black Mamba']","['Reptile', 'Mammal']"
11232,LZDQFHFB,train,15,"[('Hazel Grouse Bird', 'Chirping')]",['Hazel Grouse Bird'],['Bird']
11233,LZDVDPTK,train,68,"[('Singing Nightingale', 'Keeping still')]",['Singing Nightingale'],['Bird']
11234,LZFGSUDX,train,133,"[('Cheetah', 'Walking')]",['Cheetah'],['Mammal']
11235,LZGICXGD,train,68,"[('Snake', 'Keeping still')]",['Snake'],['Reptile']
11236,LZHGUPTK,train,"104,68,15","[('Singing Nightingale', 'Keeping still'), ('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Shaking Head')]","['Singing Nightingale', 'Singing Nightingale', 'Singing Nightingale']",['Bird']
11237,LZIJKNPL,train,"42,123","[('Bottlenose Dolphin', 'Swimming'), ('Pufferfish', 'Escaping')]","['Bottlenose Dolphin', 'Pufferfish']",['Fish']
11238,LZJLPBXG,train,"2,40,133,67","[('Common Crane', 'Attending'), ('Common Crane', 'Jumping'), ('Common Crane', 'Eating'), ('Common Crane', 'Walking')]","['Common Crane', 'Common Crane', 'Common Crane', 'Common Crane']",['Bird']
11239,LZJRPLHH,train,68,"[('Frog', 'Keeping still')]",['Frog'],['Amphibian']
11240,LZKILHPH,train,69,"[('Bee', 'Landing')]",['Bee'],['Insect']
11241,LZKOABRS,train,45,"[('Apis Mellifera Honey Bee', 'Exploring')]",['Apis Mellifera Honey Bee'],['Insect']
11242,LZKYWTEK,train,102,"[('Sumatran Orangutan', 'Sensing')]",['Sumatran Orangutan'],['Mammal']
11243,LZLBRPTK,train,"102,15","[('Singing Nightingale', 'Chirping'), ('Singing Nightingale', 'Sensing')]","['Singing Nightingale', 'Singing Nightingale']",['Bird']
11244,LZMNNWZS,train,"123,45","[('Carolina Duck', 'Swimming'), ('Duck', 'Swimming')]","['Carolina Duck', 'Duck']",['Bird']
11245,LZMNQAMC,train,"58,87,8,68,120,133","[('Lion Young', 'Playing'), ('Lion Young', 'Grooming'), ('Lion Young', 'Biting'), ('Lion Young', 'Keeping still'), ('Lion Young', 'Walking')]","['Lion Young', 'Lion Young', 'Lion Young', 'Lion Young', 'Lion Young']",['Mammal']
11246,LZOITHBS,train,15,"[('Common Chiffchaff Bird', 'Chirping')]",['Common Chiffchaff Bird'],['Bird']
11247,LZQSDRAC,train,"100,67","[('White Nosed Coati', 'Jumping'), ('White Nosed Coati', 'Running')]","['White Nosed Coati', 'White Nosed Coati']",['Mammal']
11248,LZQXAUDX,train,"2,133","[('Leopard', 'Walking'), ('Leopard', 'Attending')]","['Leopard', 'Leopard']",['Mammal']
11249,LZQYDMRN,train,"40,133","[('Common Snipe', 'Eating')]",['Common Snipe'],['Bird']
11250,LZREMBXG,train,52,"[('Common Crane', 'Flying')]",['Common Crane'],['Bird']
11251,LZRWWYSZ,train,47,"[('Fruit Fly', 'Fighting')]",['Fruit Fly'],['Insect']
11252,LZSJWADM,train,"27,78","[('Aesculapian Snake', 'Moving'), ('Aesculapian Snake', 'Disturbing Another Animal')]","['Aesculapian Snake', 'Aesculapian Snake']",['Reptile']
11253,LZSMJSVW,train,68,"[('Halyomorpha Halys', 'Keeping still')]",['Halyomorpha Halys'],['Insect']
11254,LZSSVIQR,train,"1,102","[('Black Mamba', 'Sensing'), ('Mongoose', 'Attacking')]","['Black Mamba', 'Mongoose']","['Reptile', 'Mammal']"
11255,LZTRPPKL,train,68,"[('Lightfoot Crab', 'Keeping still')]",['Lightfoot Crab'],['Sea animal']
11256,LZTSDMHZ,train,102,"[('Vipera Berus Snake', 'Sensing')]",['Vipera Berus Snake'],['Reptile']
11257,LZVGGUUK,train,105,"[('Green Woodpecker', 'Sharing Food')]",['Green Woodpecker'],['Bird']
11258,LZWAVANS,train,78,"[('Orb Spider', 'Moving')]",['Orb Spider'],['Insect']
11259,LZXLUVKA,train,102,"[('Common Quail', 'Sensing')]",['Common Quail'],['Bird']
11260,LZYMJUDI,train,"104,68,15","[('Robin Bird', 'Keeping still'), ('Robin Bird', 'Chirping'), ('Robin Bird', 'Shaking Head')]","['Robin Bird', 'Robin Bird', 'Robin Bird']",['Bird']
11261,LZYTMRFV,train,40,"[('Mountain Yellow-Legged Frog', 'Eating')]",['Mountain Yellow-Legged Frog'],['Amphibian']
11262,LZZIWDMX,train,"102,15","[('Golden Oriole', 'Chirping'), ('Golden Oriole', 'Sensing')]","['Golden Oriole', 'Golden Oriole']",['Bird']
